gene,seq_length,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
St3gal5,414,5,3,3,3,4,4,5,5,6,6,5,4,3,4,4,3,3,2,2,2,2,3,3,3,3,4,3,4,5,5,5,6,6,6,7,6,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,3,3,2,1,0,-1,-1,-2,-2,-2,0,0,0,-1,-1,-2,-2,-3,-2,-2,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,2,2,4,4,3,3,3,3,3,3
Kctd12,327,0,-1,-1,-1,-2,-1,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,0,0,1,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,0,1,0,0,1,1,1,2,2,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,-1,-1,-3,-2,-2,-1,0,-1,1,0,0,-1,-1,-2,-3,-3,-3,-3,-3,-3,-3,-1,-1
Slamf7,333,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,-2,-2,-2,-2,-2,-2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,0,0,0,0,0,0,-1,-1,0,1,1,2
Irgm2,395,-5,-6,-5,-4,-4,-3,-1,-1,-2,-1,-1,-2,0,-1,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,3,3,3,3,1,2,2,3,3,3,2,2,2,2,2,2,1,3,3,3,3,3,2,1,1,0,-1,-1,-2,-2,-2,-2,-2,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0
Epsti1,314,4,3,3,3,2,2,2,3,3,3,3,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,0,-1,0,0,0,0,0,0,0,-1,-2,-2,-2,-2,-2,-2,-1,0,0,2,2,2,2,2,3,1,1,0,0,0,0,0,-1,0,0,1,1,1,1,2,2,3,3,3,4,4,3,2,2,2,2,2,1,1,1,2,1,2,1,1,3,3,5,4,4,3,3,3,3,3,3,3,3
Vsir,308,2,1,1,1,2,2,2,2,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,0,0,0,0,0,1,1,1,1,1,1,2,3,3,2,2,2,2,2,3,1,1,2,2,2,3,3,2,2,2,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,3,2,2,2,1,3,3,2,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1
Cd37,278,-2,-3,-2,-2,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,1,2,3,3,3,2,2,2,2,3,3,3,3,3,3,4,4
Rasgef1b,473,-1,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-3,-4,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,-1,-1,-2,-1,-2,-2,-2,-1,0,0,0,1,2,2,2,1,1,1,1,0,0,0,0,0,0,-1,-1,-2,-1,0,0,-1,1
Bnip3,187,-2,-3,-3,-3,-3,-3,-3,-2,-3,-2,-2,-2,-2,-3,-3,-2,-2,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,0,0,1,-1,-1,-1,0,1,0,0,-1,0,0,0,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-3,-4,-4,-5,-6,-5,-4,-3,-4,-3,-4,-4,-5,-5,-3,-2,-1,-1,-2,-2,-2,-2,-2,-3,-3,-3,-2,-2,-3,-2,-1,0,0,1,1,0,-1,-2,0,0
Il18bp,193,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,2
Ldlr,861,0,-1,-1,-1,0,0,0,1,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-2,-3,-4,-4,-4,-4,-4,-4,-5,-4,-4,-5,-5,-5,-5,-5,-6,-6,-6,-6,-5,-4,-4,-4,-2,-2,-2,-1,-2,-2,-1,1,1,0,1,1,1,0,0,-1,-1,-2,-2,-3,-4,-4,-4,-4,-4,-4,-3,-4,-4,-4,-5,-6,-7,-7,-5,-5,-5,-7,-7,-5,-5,-5,-5,-4,-4,-3,-3,-2,-3,-2
Lhfpl2,222,1,0,-1,-1,-1,-1,-1,0,0,0,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,0,0,-1,-1,-2,-2,-1,-2,-2,-1,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,2,2,2,2,2
Cflar,215,-6,-6,-7,-7,-7,-8,-8,-8,-8,-7,-7,-7,-7,-6,-7,-6,-5,-6,-6,-5,-4,-4,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-2,-1,-1,0,1,1,0,0,-1,1,2,2,3,4,4,3,5,4,4,4,3,2,2,2,3,4,4,5,5,5,5,4,3,2,2,2,3,3,3,1,0,0,-1,-2,-2,-2,-3,-3,-4,-4,-3,-2,-2,-2,-3,-4,-4,-3,-4,-4,-4,-4,-2,-2,-2
Mx1,631,0,-2,-1,-2,-2,-2,-2,-2,-2,-3,-3,-3,-2,-1,-3,-3,-4,-4,-4,-3,-2,-2,-2,-1,-2,-2,-3,-3,-3,-3,-3,-2,-2,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,4,5,4,4,4,3,3,4,4,5,5,5,5,3,2,2,1,1,0,0,-1,-2,-2,-2,-3,-3,-5,-6,-7,-8,-8,-8,-7,-7,-6,-5,-5,-6,-6,-7,-7,-7,-7,-6,-5,-6,-4,-4,-3,-3
H2-Eb1,264,2,2,2,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,1,2,2,1,0,-1,-1,-1,1,1,0,-1,-2,-1,-1,-2,-2,-1,-1,-1,-1,-2,-3,-3,-3,-3,-4,-3,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-6,-6,-4,-3,-2,-3,-3,-3,-3,-4,-4,-3,-3,-2,-2,-3,-4,-4,-4,-3,-2,-2,-2,-1,0,1,1,1,1,1,2,2,1,0
H2-Eb1,264,2,2,2,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,1,2,2,1,0,-1,-1,-1,1,1,0,-1,-2,-1,-1,-2,-2,-1,-1,-1,-1,-2,-3,-3,-3,-3,-4,-3,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-6,-6,-4,-3,-2,-3,-3,-3,-3,-4,-4,-3,-3,-2,-2,-3,-4,-4,-4,-3,-2,-2,-2,-1,0,1,1,1,1,1,2,2,1,0
H2-Eb1,264,2,2,2,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,1,2,2,1,0,-1,-1,-1,1,1,0,-1,-2,-1,-1,-2,-2,-1,-1,-1,-1,-2,-3,-3,-3,-3,-4,-3,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-6,-6,-4,-3,-2,-3,-3,-3,-3,-4,-4,-3,-3,-2,-2,-3,-4,-4,-4,-3,-2,-2,-2,-1,0,1,1,1,1,1,2,2,1,0
H2-Eb1,264,2,2,2,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,1,2,2,1,0,-1,-1,-1,1,1,0,-1,-2,-1,-1,-2,-2,-1,-1,-1,-1,-2,-3,-3,-3,-3,-4,-3,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-6,-6,-4,-3,-2,-3,-3,-3,-3,-4,-4,-3,-3,-2,-2,-3,-4,-4,-4,-3,-2,-2,-2,-1,0,1,1,1,1,1,2,2,1,0
Stau1,495,4,3,3,2,2,2,3,3,3,3,2,2,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,4,4,5,5,5,4,4,4,4,3,4,4,3,2,2,1,2,0,0,-1,-2,-4,-4,-3,-3,-2,-2,-4,-4,-4,-5,-5,-5,-6,-6,-5,-5,-4,-3,-2,-3,-3,-2,-2,-2,-3,-4,-3,-3,-2,-1,0,0,0,1,-1,-1,0,0,0
Il2rg,266,5,4,4,3,2,1,1,2,2,0,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-3,-3,-3,-4,-4,-4,-4,-4,-3,-2,-2,-3,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,-2,-3,-3,-3,-2,-2,-2,-2,-2
Zbp1,576,0,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-2,-2,-2,-1,-2,-2,-1,-1,0,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-3,-3,-2,-2,-2,0,2,2,3,3,4,4,4,4,5,6,6,6,6,5,5,6,7,7,6,5,4,3,4,4,5,5,5,5,5,4,3,2,1,1,-1,-2,-2,-2,-2,-4,-4,-5,-5,-5,-5,-5,-6,-6,-5,-5,-5,-4,-3
Helz2,2947,2,1,1,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,0,0,1,0,0,0,-1,-1,0,0,1,2,3,3,3,4,4,5,5,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,7,7,7,8,8,7,6,7,7,6,5,5,6,6,6,5,4,4,3,3,3,3,3,2,2,3,2,2,2,2,3
Pfkfb3,543,4,3,3,3,4,4,4,4,4,3,3,3,2,2,2,2,3,3,5,5,4,4,4,5,6,5,5,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,6,6,5,4,4,5,5,5,4,3,3,3,2,2,3,3,2,2,1,0,0,0,0,0,1,2,2,2,3,3,2,1,2,3,2,1,2,2,2,2,2,3,2,2,1,1,2,2,3,4,3,3,2,2,1
Rel,587,4,3,3,3,3,3,3,3,2,3,3,4,3,3,4,5,5,4,4,3,3,3,2,2,1,1,0,0,2,2,2,2,3,3,3,3,3,3,5,4,3,3,4,5,5,4,4,4,3,3,3,3,4,3,3,4,3,3,2,2,0,0,-2,-2,-2,-2,-3,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,0,0,0,1,1,3,2,1,3,3,3,3,4,4,6,6,6,6,7,6,5,5
Phf11,293,1,0,0,-1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,-2,-2,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-4,-3,-3,-4,-4,-4,-4,-4,-4,-3,-3,-3,-4,-4,-3,-3,-3,-1,0,-1,-1,-1,0,0,1,2,2,3,4,4,5,5,6,7,8,8,8,8,8,7,7,6,7,7,6,6,6,6,5,6,6,6,5,5,4,3,2,0,0,0,0,0,-1,-1,-3
Slfn9,910,1,0,2,3,2,2,3,4,5,6,5,3,4,4,5,6,6,6,6,6,6,6,7,7,7,7,7,8,7,7,6,6,5,4,5,5,4,3,2,0,0,1,-1,0,-1,-1,-1,-2,-2,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-4,-4,-3,-2,-2,-3,-3,-3,-3,-3,-3,-2,-2,0,0,0,0,-1,-1,-1,-2,-3,-4,-4,-3,-2,-2,-1,-1,-1,0,0,-1,-1
Slfn8,407,-3,-4,-2,-2,-3,-3,-2,-1,0,1,0,-1,0,0,1,2,2,1,1,1,1,1,2,2,2,2,2,3,4,5,4,4,3,3,4,4,3,3,2,0,0,1,0,-1,-2,-2,-2,-2,-2,-3,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-4,-3,-2,-2,-3,-4,-3,-3,-3,-3,-2,-2,0,-1,-1,-1,-2,0,0,-1,-2,-2,-2,-2,-1,-1,0,0,0,1,1,0,0
Actg1,375,-3,-4,-3,-2,-1,-1,-1,0,0,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,3,2,1,0,0,0,1,2,2,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,-3,-2,-2,-1,0,0,0,0,-1,-2,-3,-3,-2,-2,-2,-3,-4,-5,-5,-4,-4,-4,-4,-4,-5,-5,-5,-4,-3,-3,-1,-2,-2,-1,-2,-1,-1,-1,-1,-1,0,0,-2,-2,-2,-2,-1
Apba1,842,-9,-10,-10,-11,-11,-10,-11,-11,-11,-10,-10,-9,-9,-9,-8,-7,-7,-7,-7,-7,-6,-7,-7,-7,-8,-8,-6,-6,-5,-5,-4,-4,-4,-3,-3,-3,-2,-2,-2,-3,-4,-5,-6,-7,-8,-7,-7,-8,-8,-8,-8,-6,-6,-5,-4,-4,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-8,-8,-8,-7,-6,-5,-4,-3,-3,-4,-3,-3,-4,-4,-6,-5,-5,-5,-6,-5,-6,-7,-8,-8,-8,-8,-8,-7,-7,-7,-5,-5,-5
Mndal,538,4,2,2,4,4,3,3,4,4,4,3,1,1,0,2,2,2,3,4,3,3,3,1,0,1,0,0,1,1,0,-1,0,-1,-1,-1,-1,-1,-2,-2,-3,-2,-1,0,0,-1,0,-1,-1,-1,1,2,2,4,5,3,4,4,4,4,4,5,6,8,7,7,8,7,8,8,9,9,10,10,12,12,11,11,10,10,9,8,8,6,6,7,6,6,5,6,5,4,3,3,3,3,2,2,1,2,3
Mov10,1004,2,0,1,0,0,0,1,1,0,-1,-1,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1,1,2,2,3,2,2,1,1,1,1,1,2,3,4,3,4,4,4,5,5,4,5,5,5,4,4,4,4,4,3,4,5,5,5,6,6,6,6,6,6,6,6,6,5,6,5,5,5,4,5,6,5,5,4,6,6,5,5,5,6,5,5,4,4,3,2,2,1,1,1
Cxcl10,98,3,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,3,4,4,3,1,1,1,1,1,1,0,-1,0,1,1,1,2,2,2,2,3,3,2,2,3,4,5,5,6,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snx10,201,-1,-3,-3,-4,-3,-3,-3,-4,-3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,1,2,3,2,2,2,2,2,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,5,5,4,3,2,2,1,2,2,3,3,3,2,1,0,1,2,2,2,2,1,0,0,0,1,2,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,0,-1,-1,-1,-2,-2
Lratd2,310,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-3,-4,-5,-7,-6,-7,-7,-7,-7,-6,-6,-6,-6,-6,-6,-7,-6,-5,-5,-5,-7,-7,-7,-8,-7,-7,-7,-7,-7,-7,-6,-5,-4,-3,-4,-3,-2,-2,-2,-3,-3,-4,-4,-4,-3,-3,-3,-2,-3,-4,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,-2,-2,-2,-2,-2
Susd3,269,8,7,6,5,5,5,5,5,5,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
Arid5a,431,1,0,0,0,1,2,1,0,1,2,2,2,2,3,2,2,1,0,0,-1,0,1,1,2,1,-1,-1,0,0,0,0,0,0,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,0,0,-1,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,5,5,5,5,5,6,6,7,6,4,4,4,4,4,4,3,2,1,1,2,2,2,2,3,3,3,3,4,2,1
Hsd3b7,369,0,-2,-1,-1,-1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,-1,-2,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-2,-3,-2,-2,-3,-3,-4,-3,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-2,-1,-1,-1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0
Rnf7,113,-3,-4,-4,-2,-1,0,1,1,2,3,3,3,3,3,2,2,1,1,0,0,0,0,0,-1,0,0,0,1,0,-1,-1,-1,-1,-1,-2,-2,-2,-3,-3,-2,-2,-3,-4,-4,-3,-3,-2,-2,-1,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-2,-2,-2,-2,-3,-2,-2,-2,-1,0,-1,-1,0,1,1,1,0,0,0,0,1,2,2,2,1,,,,,,,,,,,,,,,,
Tnfaip2,691,3,3,3,2,2,1,1,0,0,-1,-1,-1,-1,-1,-2,-2,-2,-2,-3,-4,-4,-4,-4,-4,-4,-5,-5,-5,-6,-7,-8,-10,-11,-11,-11,-9,-8,-6,-7,-5,-4,-4,-3,-3,-2,-2,-2,-2,-1,0,0,0,0,1,1,3,4,5,7,8,8,9,10,11,11,10,8,7,7,6,5,5,5,5,6,6,5,5,4,4,4,4,4,3,3,1,-1,-2,-2,-4,-3,-3,-4,-5,-5,-4,-3,-4,-3,-3
Irf7,457,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,0,0,0,1,2,2,2,1,0,-1,-2,-2,-1,-1,-1,0,0,0,0,1,1,1,1,2,2,1,1,1,1,0,0,0,0,-1,-2,-2,-2,-2,-1,0,0,1,2,1,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,3,3,3,3,4,5,4,5,5,5,5,4,3,3,2,1,2,2,1,0,0,0,0,-1,-1,-1
Tle3,782,3,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-2,-2,-2,-2,-2,-3,-1,-1,-2,-1,-2,-1,-2,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-2,-1,0,-1,-2,-2,-2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,-1,1,1,2,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1
Zfp91,572,-7,-8,-7,-7,-6,-6,-5,-4,-4,-5,-5,-5,-4,-4,-5,-4,-4,-3,-3,-2,-2,-2,-1,-1,-1,1,0,1,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,6,7,8,8,7,6,6,7,7,8,9,8,9,8,8,7,8,8,8,7,7,7,7,7,7,7,7,7,7,7,6,5,4,4,5,5,5,5,5,4,3,4,4,4,4,4,2,3,3,4,4,3,4,3,3,4
Zfp91,572,-7,-8,-7,-7,-6,-6,-5,-4,-4,-5,-5,-5,-4,-4,-5,-4,-4,-3,-3,-2,-2,-2,-1,-1,-1,1,0,1,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,6,7,8,8,7,6,6,7,7,8,9,8,9,8,8,7,8,8,8,7,7,7,7,7,7,7,7,7,7,7,6,5,4,4,5,5,5,5,5,4,3,4,4,4,4,4,2,3,3,4,4,3,4,3,3,4
Filip1l,1131,4,3,3,3,2,3,4,3,3,4,4,3,3,2,1,1,1,1,1,1,1,0,-1,0,1,1,1,1,3,3,2,2,1,0,-1,-2,-3,-1,-2,-3,-3,-2,-2,-1,-1,-1,-1,-1,-3,-3,-4,-4,-3,-4,-3,-4,-5,-5,-6,-6,-6,-6,-5,-4,-4,-3,-3,-5,-4,-3,-3,-3,-4,-4,-4,-4,-4,-4,-3,-3,-2,-1,0,0,-1,-1,0,0,0,1,0,0,-1,-1,0,0,0,1,1,1
