gene,seq_length,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
Rcsd1,412,-1,-2,-1,0,-1,0,-1,0,0,0,0,1,1,2,3,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,2,2,3,3,3,3,2,2,2,1,0,-1,0,0,1,1,2,2,2,2,2,2,0,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2
Stx11,287,-3,-5,-7,-6,-7,-7,-8,-7,-8,-8,-7,-7,-8,-9,-9,-9,-7,-7,-7,-7,-8,-7,-7,-7,-8,-7,-7,-6,-6,-6,-7,-7,-6,-5,-4,-4,-3,-2,-1,-1,-1,0,1,1,1,1,0,1,2,2,3,3,3,5,7,6,6,6,6,6,6,8,8,7,7,7,8,7,6,6,6,5,5,6,6,7,7,6,6,5,5,5,4,3,2,2,2,3,3,3,3,2,2,2,1,1,1,1,2,2
Stxbp3,592,4,2,2,3,3,3,3,4,2,1,1,0,0,1,1,1,0,-1,-1,-2,-1,-1,-1,-2,-1,0,-1,-3,-4,-3,-3,-2,-2,-4,-4,-4,-4,-3,-2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,2,3,3,2,2,2,2,4,3,3,3,2,3,2,2,3,4,3,4,4,3,3,3,3,3,3,2,2,2,2,0,0,0,1,1,2,2,2,3,3,3,3,3,3
Lrrc8c,803,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-2,-2,-2,-2,-2,-1,-1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,1,1,1,1,1,1,1,0,0,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0
Sec31a,1230,2,1,0,0,-2,-1,-1,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-3,-3,-4,-4,-4,-5,-5,-5,-5,-6,-6,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-3,-3,-3,-2,-2,-2,-1,-1,-1,0,1,2,1,1,3,3,2,2,3,3,2,2,2,2,2,2,1,1,1,1,0,0,0,-1,-2,-2,-2,-1,-1,-1,-2,-2,-2,-1,-3,-3,-2,-2,-2,-2,-1,-2,-1,-1,-1,-1,0,0,1,1,1,0
Gripap1,806,-3,-4,-3,-2,-2,-2,-2,-2,-1,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,1,1,1,2,2,3,4,5,4,4,5,5,5,5,5,4,4,4,3,3,1,1,0,0,0,1,0,2,2,2,1,1,0,-2,-3,-3,-2,-3,-3,-4,-5,-5,-5,-4,-4,-4,-4,-4,-3,-3,-2,-2,-1,-1,-2,-2,-2,-4,-4,-5,-5,-4,-3,-2,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
Dennd1a,1016,0,-1,-2,-2,-3,-2,-3,-3,-3,-4,-4,-4,-4,-5,-4,-5,-5,-5,-4,-4,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-3,-4,-4,-4,-4,-3,-2,-2,-2,-1,-1,0,0,-1,-1,-2,-2,-1,-2,-1,-1,-1,-1,-1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,0,0,0,0,1,2,1,0,0,0,0,0
Ift20,132,-2,-3,-4,-5,-3,-4,-5,-5,-3,-4,-4,-4,-5,-4,-3,-2,-2,-2,-3,-2,-3,-3,-3,-2,-2,-1,-2,-2,-2,-3,-3,-3,-2,-1,-3,-2,-2,-2,-4,-2,-2,-1,0,-1,-1,-1,0,0,0,-1,0,0,0,0,1,1,3,2,2,3,3,3,3,2,3,3,4,4,5,3,4,4,4,4,4,3,3,3,4,4,2,2,1,1,0,0,0,1,0,0,-1,-1,-1,-2,-2,-2,-3,-3,-3,-2
Slc2a6,497,-3,-4,-4,-2,-2,-1,0,-1,-1,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Fyttd1,283,4,2,2,1,1,0,-1,-2,-2,-1,-1,-1,0,1,0,0,1,2,2,2,1,1,1,1,1,3,4,4,5,4,4,5,5,6,6,7,9,9,10,9,10,10,9,8,9,9,8,7,7,7,7,8,7,7,7,6,6,7,7,8,8,8,8,7,8,9,9,9,8,8,7,7,7,7,7,7,7,8,9,9,9,8,8,9,10,10,9,8,8,7,7,8,8,8,7,6,4,5,5,5
Slco3a1,710,6,6,7,7,6,5,5,5,5,5,6,6,6,6,5,5,4,5,5,5,5,6,7,7,7,6,6,5,4,3,2,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-2,-2,-1,-1,-1,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2
Golga5,729,0,-1,-1,-1,-1,-1,0,0,1,1,0,-1,0,1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-2,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,1,1,1,0,1,1,1,1,1,1,1,2,3,4,4,4,3,3,1,0,-1,-1,0,0,-1,-1,-1,-1,0
Clic4,253,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-4,-3,-2,-1,-2,-1,-1,0,0,1,1,1,1,0,0,0,0,0,0,2,3,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,1,1,0,1,1,1,0,-2,-3,-3,-2,-3,-4,-4,-4,-4,-4,-4,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-1,-1,-1,-3,-3,-2,-1,0,0,1,2,2,2
Vamp3,103,1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,-1,-2,-3,-3,-4,-5,-4,-4,-5,-5,-4,-3,-3,-3,-2,-2,-2,-3,-4,-4,-4,-3,-4,-3,-3,-1,-1,1,1,0,0,1,2,2,4,5,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
M6pr,180,1,0,0,0,0,0,-1,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-4,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,0,1,2,2,3,3,4,4,3,3,3,3,3,4,4,4,3,4,3,3,3,2,2,2,1,1,1,1,0,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,-1,-1,-3,-4,-4,-3,-2,-2,-2,-2,-1,0,0,0,0,0,-1,-1,-2,-1,0,-1,0,0,1,1,2,3,3
Ehd3,535,3,2,3,3,3,3,3,2,2,3,2,2,1,0,0,0,1,1,1,1,1,0,-1,0,-1,-1,-3,-4,-3,-3,-4,-4,-5,-5,-5,-5,-5,-4,-3,-3,-3,-3,-3,-3,-2,-2,-1,-1,-1,-1,-2,-1,-1,-1,0,0,1,2,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-3,-3,-5,-5,-5,-5,-4,-4,-3,-3,-3,-3,-3,-5,-5,-4,-3,-2,-2,-1,0,1,1,1,1,1
Tmsb10,44,1,0,1,1,0,0,0,0,-1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fth1,182,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-3,-2,-3,-3,-3,-2,-2,-1,-1,-1,-2,-1,-1,-1,-1,0,0,0,0,-1,-2,-1,-2,-2,-2,-3,-2,-2,-2,-1,0,-1,0,1,2,2,2,2,2,2,2,1,0,0,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,-1,-1,-1,-1,-1,-2,-3,-2,-3,-3,-3,-3,-3,-2,-2,-4,-5,-5,-3,-4,-3,-2,-3,-1,-1,-2,-2,-2
Washc2,1334,0,-1,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-1,1,1,0,-2,-2,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,1,2,2,2,2,2,2,1,1,0,0,0,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-3,-3,-4,-5,-5,-6,-6,-5,-5,-6,-6,-7,-5,-5,-6,-6,-7,-6,-6,-5,-6,-6,-5,-5,-5,-7,-7,-7
Slc2a1,492,3,2,3,3,3,3,2,1,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,4,3,3,2,1,1,1,2,2,2,2
Rab43,215,2,1,2,2,3,3,3,3,2,2,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,1,1,2,2,3,3,2,2,3,3,3,3,3,3,3,2,2,1,0,0,0,0,2,1,1,1,0,1,1,1,0,0,0,0,-2,-2,-2,-2,-3,-3,-3,-3,-4,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-1
Pdzd11,140,-2,-3,-2,-2,-3,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0,1,1,1,1,1,1,1,2,1,1,1,2,2,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,3,1,1,1,2,2,2,2,2,1,1,0,-1,-1,-1,-2,-2,-2,-3,-3,-4,-4,-4,-5,-5,-7,-7,-7,-6,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-4,-4,-3,-2,-2,-1,-1,-1,-1,0
Pex7,318,4,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-2,-2,-2,-3,-3,-3,-3,-4,-4,-4,-4,-4,-5,-5,-5,-6,-6,-5,-5,-5,-4,-4,-4,-4,-5,-5,-5,-6,-6,-6,-5,-6,-6,-5,-4,-4,-4,-3,-3,-3,-3,-3,-2,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-1,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-3
Tnfaip2,691,3,3,3,2,2,1,1,0,0,-1,-1,-1,-1,-1,-2,-2,-2,-2,-3,-4,-4,-4,-4,-4,-4,-5,-5,-5,-6,-7,-8,-10,-11,-11,-11,-9,-8,-6,-7,-5,-4,-4,-3,-3,-2,-2,-2,-2,-1,0,0,0,0,1,1,3,4,5,7,8,8,9,10,11,11,10,8,7,7,6,5,5,5,5,6,6,5,5,4,4,4,4,4,3,3,1,-1,-2,-2,-4,-3,-3,-4,-5,-5,-4,-3,-4,-3,-3
Stx12,274,1,0,0,0,0,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,3,3,2,2,2,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,-1,-1,-1,0,-2,-2,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-2,-2,-1,-1,-1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3,4,3,3,2,3
Sarnp,210,1,1,1,0,1,1,1,3,3,3,2,2,1,0,-1,0,0,-2,-3,-3,-3,-3,-4,-6,-7,-7,-6,-6,-8,-9,-9,-11,-12,-12,-13,-13,-12,-13,-13,-14,-14,-14,-14,-12,-12,-13,-14,-13,-12,-12,-11,-11,-10,-10,-9,-9,-9,-10,-8,-6,-6,-5,-3,-2,-1,-1,-2,-2,-2,-1,-1,-2,-1,-2,-1,1,3,3,2,4,3,3,3,4,4,4,4,4,3,3,4,4,3,4,4,4,5,5,5,5
Slc15a3,578,5,5,6,6,6,5,5,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,3,2,2,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Stard3,446,1,0,0,-1,-2,-2,-2,-1,-1,-1,-1,0,-1,1,1,2,2,2,2,1,1,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,0,-1,-1,-1,-1,0,1,1,0,0,-1,-1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,-1,-2,-2,-2,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,2,2
Clic5,251,-5,-6,-6,-5,-5,-5,-5,-4,-4,-4,-3,-2,-3,-2,-2,0,0,1,1,1,1,0,0,0,0,0,0,2,3,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,1,1,0,1,1,1,0,-2,-3,-3,-2,-3,-4,-4,-4,-4,-4,-5,-4,-4,-4,-3,-3,-3,-3,-2,-2,-1,-1,-1,-2,-2,-1,-1,-1,-3,-3,-2,-1,0,0,1,2,2,2,3,3,4
Tap2,702,1,0,0,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-1,0,-1,-1
Whamm,793,-4,-5,-4,-4,-3,-3,-3,-2,-1,-1,0,0,0,0,0,0,-1,-1,1,1,1,1,3,4,6,6,5,6,7,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,5,4,4,4,5,4,3,2,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2
Slc16a3,470,-1,-2,-2,-2,-2,-2,-2,-1,0,0,1,1,1,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-1,-1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Picalm,660,3,2,2,1,1,1,1,1,3,3,4,4,4,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,-1,-1,0,0,-1,0,0,-1,-2,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,2,2,2,3
Kpna4,521,5,3,3,4,4,4,3,4,6,6,7,7,6,4,4,4,3,4,4,5,4,5,5,6,5,4,3,2,1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-3,-3,-4,-5,-4,-3,-4,-4,-4,-5,-6,-7,-7,-7,-7,-8,-7,-6,-6,-6,-5,-4,-4,-3,-3,-2,-2,-1,0,0,0,0,0,0,-1,0,1,1,1,1,0,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-3,-3,-3
Vamp8,101,-1,-2,-2,0,0,0,0,1,1,0,0,1,-1,-1,-2,-1,-1,0,0,0,-1,0,-1,-1,-2,-2,-3,-3,-3,-2,-2,-2,-1,-2,-1,-1,-1,-1,0,1,1,1,3,3,3,3,3,2,2,3,4,4,5,5,5,5,6,6,6,5,5,5,5,5,4,4,4,3,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slc28a2,660,0,-1,0,-2,-2,-2,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-5,-5,-6,-7,-6,-6,-6,-6,-6,-5,-5,-5,-4,-3,-2,-2,-2,-1,-1,-2,-2,-1,-1,1,2,2,2,1,2,2,2,2,3,4,5,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,3,3,2,2,2,2,3,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3
Slc4a7,1034,-3,-4,-3,-3,-2,-2,-1,-1,-1,0,-1,-3,-3,-4,-4,-4,-4,-4,-4,-3,-2,-1,-1,-1,-1,0,0,0,0,-1,-1,0,1,2,2,3,2,3,4,3,5,6,6,7,8,9,9,10,9,10,9,9,8,9,8,7,7,8,6,7,7,6,5,3,3,2,2,1,2,2,1,1,1,1,0,-1,-3,-5,-5,-7,-7,-8,-7,-8,-7,-6,-7,-8,-7,-7,-8,-8,-9,-9,-9,-9,-9,-8,-10,-10
Pxk,582,-1,-2,-2,-2,-2,-2,-3,-3,-3,-2,-2,-3,-2,-2,-2,-1,0,-1,-1,-1,-1,-1,-1,-1,0,2,2,2,1,1,0,0,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,1,2,2,2,2,2,1,-1,0,-1,0,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,-1,-1,0,0,2,2,2,1,2,1,1,0,0,0,0,0,0
Dlg4,724,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-3,-3,-5,-5,-5,-5,-4,-3,-3,-3,-4,-4,-3,-3,-3,-3,-3,-4,-4,-5,-5,-6,-6,-7,-8,-8,-8,-8,-9,-8,-8,-8,-7,-7,-7,-6,-6,-6,-6,-6,-5,-5,-5,-6,-6,-6,-6,-5,-5,-5,-6,-5,-5,-4,-3,-3,-3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-1,-1,0,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,0,-1,-2,-2
Ranbp3,558,0,-1,0,0,0,0,-1,0,1,-1,-2,-2,-1,-1,-2,-2,-3,-3,-3,-3,-3,-5,-4,-5,-5,-5,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-7,-7,-7,-6,-5,-5,-6,-6,-5,-5,-4,-4,-4,-4,-4,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,0,0,-1,-2,-2,-3,-3,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-4,-3,-3,-4,-4,-4,-4,-4,-4
M6pr,180,1,0,0,0,0,0,-1,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-4,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,0,1,2,2,3,3,4,4,3,3,3,3,3,4,4,4,3,4,3,3,3,2,2,2,1,1,1,1,0,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,-1,-1,-3,-4,-4,-3,-2,-2,-2,-2,-1,0,0,0,0,0,-1,-1,-2,-1,0,-1,0,0,1,1,2,3,3
Tbc1d13,400,1,0,0,0,0,0,-1,-2,-3,-3,-3,-1,-1,-1,0,0,1,0,1,1,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1,2,2,4,4,4,4,3,3,3,3,4,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,4,3,2,1,1,0,-1,-2,-2,-2,-2,-2,-2,-3,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-3,-3,-4,-4,-4,-4,-5,-4,-4,-3,-4,-4,-2,0
Slc30a1,503,4,3,3,3,3,3,2,2,1,1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-1,0,0,0,0,0,0,1,2,2,2,2,2,2,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,1,1,1,1,1,1,-1,-1,-1,-2,-1,-1,-1,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2
Arrdc2,407,0,-1,-1,0,1,0,0,-2,-2,-2,-2,-2,-1,0,1,1,1,0,1,1,2,3,4,4,5,5,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,4,4,4,2,2,1,1,0,1,0,0,0,0,0,1,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-3,-2,-1,-1,0,0,0,1,1
