Gene,SeqLength,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
Casp8,656,-2,-3,-3,-3,-2,-2,-2,-1,0,0,0,-1,-1,-1,-1,0,2,2,2,3,2,2,3,4,5,4,4,4,3,3,2,2,1,0,0,1,1,0,0,1,1,2,2,2,3,2,1,2,2,2,2,2,2,1,0,0,0,0,1,1,1,1,2,2,2,1,0,1,1,0,0,-1,-1,-1,-2,-1,-1,-2,-2,-3,-3,-3,-3,-3,-2,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0
Bst1,479,-4,-6,-6,-5,-5,-5,-4,-4,-5,-5,-5,-5,-4,-4,-4,-5,-5,-5,-3,-2,-2,-1,-1,-1,0,0,0,0,0,0,1,2,2,1,1,0,-2,-2,-1,-2,-2,-2,-3,-4,-4,-3,-4,-4,-5,-5,-5,-4,-4,-5,-7,-8,-8,-8,-7,-7,-7,-7,-7,-7,-7,-6,-6,-6,-6,-4,-3,-3,-2,-1,-1,-1,0,0,0,0,0,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
Braf,804,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-6,-6,-6,-6,-6,-5,-5,-5,-4,-3,-2,-2,-1,-2,-2,-2,-3,-3,-3,-3,-4,-3,-3,-3,-2,-3,-3,-3,-3,-2,-1,-1,-1,-1,-2,-3,-3,-4,-5,-6,-6,-6,-5,-4,-5,-5,-4,-4,-4,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
Ccr1,359,-3,-4,-4,-3,-4,-5,-5,-4,-5,-5,-5,-6,-5,-4,-5,-5,-5,-5,-4,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,2,2,3,2,2,2,2
Carhsp1,223,-3,-5,-4,-3,-3,-4,-4,-3,-3,-3,-3,-3,-3,-3,-3,-4,-2,-1,0,1,2,2,2,2,3,3,2,1,2,2,2,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,3,3,2,2,2,3,3,3,2,2,1,1,1,0,0,0,0,-1,-2,-2,-2,-1,0,0,0,0,0,0,-1,-1,-1,-2,-2,-2,-2,-3,-3,-3,-3,-2,-1,-1,-1,0,0,0,0,1,1,1,2,1,1,1
Cd200,204,2,1,1,1,1,1,0,0,0,0,-1,-2,-3,-3,-3,-3,-3,-4,-3,-4,-4,-4,-4,-4,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,0,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,1,-1
Casp4,487,2,1,1,1,1,1,3,2,2,2,1,1,1,2,2,3,3,3,3,4,3,3,5,5,6,6,6,7,7,7,6,6,6,7,6,6,5,4,4,4,4,4,3,2,0,0,-1,-1,-1,-2,-2,-2,-2,-2,-3,-4,-4,-4,-5,-5,-5,-5,-5,-6,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-1,-1,0,0,0,0,0,0,-1,-2,-2,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,1
Cd40,424,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-4,-4,-4,-3,-4,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,0,0,1,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,0,-1,-2,-2,-2,-2,-2,-2,-2
Cdc42ep4,205,2,1,0,0,0,0,-1,-2,-2,-2,-2,-3,-3,-3,-4,-4,-4,-3,-3,-3,-3,-3,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-2,-1,-2,-3,-3,-4,-3,-3,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-1,0,1,1,-1,-1,-2,-2,-3,-3,-2,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-3,-4,-4
Ccnk,554,1,0,-1,0,0,-1,0,0,0,-1,-1,-1,-2,-2,-2,-2,-3,-3,-1,-1,0,0,-1,-1,-1,0,0,1,0,-2,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,0,1,1,1,0,0,0,1,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,4,4,3,2,2,1,2,3,3,4,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2
Cd274,290,3,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-2,-2,-3,-3,-3,-3,-3,-3,-4,-3,-3,-4,-3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-4,-4,-6,-7,-8,-8,-6,-7,-6,-6,-5,-5,-5,-4,-4,-3,-3,-3,-3,-2,-2,-2,-1,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,2,2,2,2,1,1,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0,1
Cd74,523,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-3,-3,-3,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,1,0,1,1,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1
Cnp,1022,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,-1,-2,-2,-2,-3,-3,-3,-3,-3,-3,-2,-1,-1,-2,-2,-2,-2,-2,-2,-3,-2,-3,-4,-4,-4,-4,-4,-3,-3,-2,-2,-2,-2,-2,-1,-1,-1,0,0,0,-1,-1,-1,1,1,0,0,0,0,1,1,2,2,2,2,2,2
Cd38,365,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2
Cdc42ep2,214,7,6,6,6,5,5,4,4,5,5,4,3,3,3,2,1,1,0,-1,-1,-3,-3,-4,-3,-4,-4,-4,-4,-3,-3,-3,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-3,-4,-4,-5,-6,-7,-7,-7,-6,-6,-6,-6,-6,-5,-5,-5,-4,-4,-4,-4,-5,-5,-5,-4,-5,-5,-5,-6,-6,-6,-5,-4,-4,-3,-1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,0,0,1,2
Cggbp1,167,3,2,3,1,1,1,0,-1,-1,-1,0,0,-1,-1,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-2,0,-1,-1,-1,0,-1,-1,-1,1,1,2,3,4,4,5,5,6,6,5,5,4,3,3,3,3,4,5,6,6,6,5,5,5,5,5,6,6,6,5,5,4,4,4,4,2,2,1,1,2,2,3,3,3,3,4,3,2,1,0,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-2,-2,-2,-1,-1,0
Crk,182,1,0,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,0,0,0,0,0,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-2,-2,-2,-2,-2,-1,0,1,2,2,2,2,1,1
Ctsh,155,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-4,-5,-4,-4,-4,-4,-4,-5,-5,-5,-4,-4,-4,-3,-2,-3,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,0,2,1,1,0,0,0,2,1,1,0,0,0,0,-1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,1,2,1,0,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,3,3
Dbnl,1730,1,0,1,1,1,1,2,2,3,3,3,3,2,2,2,2,2,3,3,2,2,2,1,1,1,0,0,1,1,1,1,2,2,3,3,3,3,3,2,1,0,-1,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,0,-1,-1,-1,0,1,2,1,0,-1,0,1,1,1,2,2,2,3,4,4,4,4,5,6,7,7,5,5,4,3,2,2,2,2,1
Dtx3l,748,3,2,2,3,3,3,4,4,4,3,3,3,3,3,2,2,1,2,2,2,2,0,0,0,-2,-3,-2,-1,-1,0,1,1,0,0,-1,0,0,0,1,3,3,2,2,1,1,1,1,1,1,2,2,3,3,3,4,4,2,2,2,2,2,2,3,1,1,0,1,1,1,0,0,1,1,2,2,2,2,1,1,0,0,0,1,1,1,1,2,2,2,1,0,-1,-2,-1,0,0,-2,-3,-4,-4
Elf1,83,9,8,7,7,6,5,4,3,3,2,1,2,2,2,1,0,0,0,0,0,0,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-2,-3,-2,-3,-3,-5,-5,-5,-6,-6,-6,-7,-7,-7,-7,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhx58,678,1,0,2,2,1,1,1,1,1,3,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,5,5,5,5,4,4,3,3,3,2,1,1,2,2,1,1,0,2,2,2,3,2,2,1,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,3,3,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-2,-4,-5,-5,-5,-6,-6,-5,-6,-7,-7,-7,-6,-6
Eif2ak2,515,2,1,1,1,2,2,2,1,2,3,3,4,3,3,3,2,2,0,-1,0,-1,-1,-1,-2,-2,-1,-1,-1,0,1,1,0,0,1,1,1,1,2,2,1,1,1,0,0,0,-1,-1,-1,0,0,1,0,0,1,1,0,0,-1,-2,-3,-3,-2,-2,-3,-3,-3,-3,-3,-4,-4,-4,-4,-3,-3,-3,-2,-1,1,2,1,1,2,2,2,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,2
Dlg4,699,-1,-2,-1,-2,-2,-3,-3,-4,-4,-5,-7,-7,-7,-7,-8,-7,-7,-7,-7,-7,-7,-6,-6,-6,-5,-5,-5,-5,-5,-6,-6,-6,-6,-5,-5,-5,-6,-5,-5,-4,-3,-3,-3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-1,-1,0,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,0,-1,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-1,-2,-3,-3,-4,-4,-4,-2,-2,-2,-2,-2,-1,0,2,2,3
Evl,564,4,3,3,4,4,4,4,4,4,4,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,1,1,0,0,0,0,-1,-3,-3,-3,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-3,-5,-5,-6,-6,-6,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,-5,-4,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-6,-6,-5,-5,-5,-5,-5,-5,-5,-6,-7,-8,-8,-8,-8,-9
Fam162a,155,5,4,4,3,3,4,5,5,4,4,4,4,4,5,5,5,3,3,3,5,4,4,4,4,4,4,5,4,4,4,3,3,3,5,5,4,2,2,1,2,3,3,3,2,2,2,3,4,4,4,5,4,3,2,2,2,0,0,0,0,0,-1,-1,-2,-3,-3,-2,-1,0,0,-1,0,0,1,1,1,1,0,0,-1,-2,-1,0,1,1,1,2,2,2,2,2,3,2,2,4,5,5,4,5,5
Dus2,493,4,3,3,2,2,2,2,1,1,1,1,1,0,-2,-2,-2,-3,-3,-2,-2,-2,-3,-3,-2,-1,-1,-1,-1,-3,-3,-3,-3,-3,-2,-3,-3,-3,-2,-2,-3,-4,-3,-2,-1,-1,0,1,1,-1,0,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,0,1,1,1,1,0,-1,-2,-2,-1,-2,-1,-2,-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-2,-1,0,-1,-1,-1,-1,-1
Emb,625,6,5,5,5,5,6,6,6,7,8,8,8,7,5,5,5,5,6,6,6,5,5,6,6,6,6,5,4,4,4,4,5,5,5,4,3,3,4,4,3,3,3,4,5,4,4,4,4,3,2,2,2,1,1,1,1,2,2,2,1,1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-2,-2,-1,-1,-1,-1,0,0,0,0,1,1,1,1,1
Fcgr4,249,1,0,1,1,1,2,2,2,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-3,-3,-3,-3,-2,-2,-1,-1,-2,-3,-3,-4,-4,-4,-3,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-2,-2,-1,-2,-1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,-2,-1,-1,0,0,0,-1,-1,-2,-2,-3,-3,-3,-3,-3,-2,-1,-1,-1
Ezr,829,1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-4,-4,-4,-3,-2,-1,-1,-1,-1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,0
Fpr2,351,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,-1,0,0,0,0,0,0,-1
Gatad2b,594,-1,-1,0,0,0,-1,0,1,0,0,-1,-2,-1,-1,0,-1,-2,-2,-2,-1,0,1,3,3,2,3,4,4,3,3,2,1,0,-1,-1,0,1,1,1,1,1,2,1,2,1,1,0,-1,0,0,-1,-2,-3,-2,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,1,3,2,2,2,2,0,-1,-1,0,0,-1,-1,-1,0,1,1,-1,-1,-2,-1,0,1,1,0,0,0,0,-2,-2,-2,-3,-2
Ensa,112,-6,-6,-6,-5,-4,-3,-3,-2,-2,-2,-2,-2,0,1,1,0,1,0,1,2,2,3,4,4,4,6,5,5,7,8,8,6,6,5,4,3,3,3,3,4,4,5,4,5,5,6,6,7,7,7,6,5,4,3,4,3,2,2,1,1,0,1,1,1,2,2,2,1,1,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,-1,,,,,,,,,,,,,,,,,
Gpr84,396,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2
Gatad2a,629,0,-1,-2,0,1,1,1,-1,-1,-2,-2,-3,-4,-6,-6,-5,-4,-4,-3,-4,-4,-3,-2,-1,-1,0,0,-1,-2,-2,-2,-2,-1,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-1,-1,-2,-3,-3,-3,-2,-3,-3,-2,-2,-2,-2,-2,-3,-3,-2,-3,-4,-3,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-2,-2,-2,-2,-3,-2,-2
Gmfg,142,1,0,0,1,1,2,2,1,2,2,3,4,4,5,5,4,4,3,2,1,0,0,-1,-1,-2,-4,-4,-4,-3,-3,-4,-4,-4,-5,-4,-5,-5,-3,-4,-3,-4,-4,-4,-4,-3,-3,-2,-1,-1,-2,-2,-1,-1,-1,-1,0,1,1,0,0,1,1,1,2,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,1,2,3,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,0,-1,0
H2-K1,374,3,2,2,2,2,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,0,-1,-1,-2,-2,-2,-1,-2,-3,-3,-4,-4,-5,-5,-5,-5,-5,-6,-6,-5,-4,-3,-4,-4,-5,-4,-5,-5,-5,-6,-5,-4,-5,-3,-4,-4,-5,-4,-3,-2,-1,-1,-1,-1,-1,-2,-1,0,-1,-2,-1,-2,-2,-2,-1,-1,0,0,0,1,2,2,3,2,3,3,3,2,2,1,1,1,2,1,1,1,0,-1,0,1
Gclm,274,3,2,3,4,6,6,5,5,5,5,5,4,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,1,0,-1,-2,-2,-3,-3,-3,-4,-4,-4,-4,-3,-3,-4,-3,-3,-3,-3,-5,-4,-4,-4,-3,-4,-5,-4,-5,-6,-6,-5,-4,-4,-4,-4,-3,-3,-3,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,1,0,-1,-1,-1,0,1,0,1,2,2,1,1,1,0,-1,-1,-1,-1,-1,-1
H2-Q7,334,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-3,-3,-4,-4,-4,-4,-4,-5,-5,-4,-3,-2,-2,-2,-3,-3,-4,-4,-4,-5,-4,-3,-4,-3,-4,-4,-5,-5,-4,-3,-2,-2,-2,-2,-2,-3,-2,-1,-1,-2,-1,-2,-2,-2,-1,-1,0,0,0,1,2,2,3,2,3,3,3,3,3,2,2,2,3,2,2,2,1,0,0,1
Hcls1,486,-6,-7,-7,-9,-8,-9,-9,-8,-8,-7,-7,-6,-6,-6,-7,-6,-6,-6,-5,-4,-4,-4,-3,-3,-2,-2,-1,-1,0,0,2,2,2,2,0,1,0,-1,-1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,-1,0,-1,1,2,1,3,3,3,2,1,0,0,0,1,1,0,0,-2,-1,-1,-1,-1,-1,-1,-2,-3,-3,-2,-2,-1,-2,-1,-1,-1,0,-1,-2,-1,-2
